Tension,Alpha,Beta,Wv,Cv,Ytp1,V,Initial_heel_angle
75,40,-5,-18.004,-1.543,1.75,-1.543,-1.28
75,40,-5,-15.432,1.029,1.75,0.514,-0.951
75,40,-5,-5.144,-1.029,0.6,-2.058,1.468
75,40,-5,0,1.543,-0.65,0,1.398
75,40,-5,10.288,0,1.75,2.058,0.417
75,40,-5,18.004,-2.058,1.75,-0.514,4.584
75,40,-5,20.576,0.514,0.6,1.543,4.699
75,45,-85,-20.576,-1.029,0.6,1.543,-0.244
75,45,-85,-18.004,2.058,1.75,-1.029,11.091
75,45,-85,-10.288,0,1.75,1.029,7.079
75,45,-85,0,-2.058,0.6,-1.543,9.066
75,45,-85,5.144,0.514,0.6,0.514,9.454
75,45,-85,15.432,-1.029,1.75,-2.058,13.749
75,45,-85,18.004,1.543,1.75,0,14.727
75,45,-75,-20.576,-0.514,1.75,2.058,-0.693
75,45,-75,-18.004,2.058,0.6,-0.514,8.888
75,45,-75,-10.288,0,-0.65,1.543,5.83
75,45,-75,0,-1.543,1.75,-1.029,8.977
75,45,-75,5.144,1.029,1.75,1.029,9.33
75,45,-75,15.432,-1.029,0.6,-1.543,12.725
75,45,-75,18.004,1.543,-0.65,0.514,13.193
75,45,-65,-20.576,0,1.75,-2.058,6.789
75,45,-65,-15.432,-2.058,1.75,0,3.42
75,45,-65,-10.288,0.514,0.6,2.058,5.394
75,45,-65,0,-1.543,-0.65,-0.514,7.907
75,45,-65,5.144,1.543,1.75,1.543,8.886
75,45,-65,15.432,-0.514,1.75,-1.029,12.29
75,45,-65,18.004,2.058,0.6,1.029,12.79
75,45,-55,-20.576,0,-0.65,-1.543,3.853
75,45,-55,-15.432,-1.543,1.75,0.514,2.703
75,45,-55,-10.288,1.029,1.75,-2.058,12.692
75,45,-55,0,-1.029,0.6,0,7.255
75,45,-55,5.144,1.543,0.6,2.058,7.822
75,45,-55,15.432,0,1.75,-0.514,11.51
75,45,-55,20.576,-2.058,1.75,1.543,5.384
75,45,-45,-20.576,0.514,0.6,-1.029,3.058
75,45,-45,-15.432,-1.543,0.6,1.029,-0.334
75,45,-45,-10.288,1.543,1.75,-1.543,11.649
75,45,-45,0,-0.514,1.75,0.514,6.607
75,45,-45,5.144,2.058,0.6,-2.058,17.138
75,45,-45,15.432,0,0.6,0,9.332
75,45,-45,20.576,-2.058,-0.65,2.058,0.583
75,45,-35,-20.576,1.029,1.75,-0.514,2.27
75,45,-35,-15.432,-1.029,1.75,1.543,-1.096
75,45,-35,-10.288,1.543,0.6,-1.029,7.59
75,45,-35,0,-0.514,-0.65,1.029,2.862
75,45,-35,10.288,-2.058,1.75,-1.543,7.391
75,45,-35,15.432,0.514,1.75,0.514,8.585
75,45,-35,20.576,-1.543,0.6,-2.058,11.507
75,45,-25,-20.576,1.029,-0.65,0,-1.471
75,45,-25,-15.432,-0.514,1.75,2.058,-2.595
75,45,-25,-10.288,2.058,1.75,-0.514,6.906
75,45,-25,0,0,0.6,1.543,2.379
75,45,-25,10.288,-2.058,-0.65,-1.029,3.771
75,45,-25,15.432,1.029,1.75,1.029,6.972
75,45,-25,20.576,-1.029,1.75,-1.543,10.674
75,45,-15,-20.576,1.543,0.6,0.514,-2.224
75,45,-15,-15.432,-0.514,-0.65,-2.058,0.717
75,45,-15,-5.144,-2.058,1.75,0,0.582
75,45,-15,0,0.514,1.75,2.058,1.798
75,45,-15,10.288,-1.543,0.6,-0.514,3.15
75,45,-15,15.432,1.029,0.6,1.543,4.471
75,45,-15,20.576,-0.514,1.75,-1.029,8.953
75,45,-5,-20.576,2.058,1.75,1.029,-3.061
75,45,-5,-5.144,-2.058,0.6,0.514,-2.756
75,45,-5,0,1.029,1.75,-2.058,6.924
75,45,-5,10.288,-1.029,1.75,0,2.442
75,45,-5,15.432,1.543,1.75,2.058,3.713
75,45,-5,20.576,-0.514,0.6,-0.514,6.284
75,50,-85,-20.576,-2.058,-0.65,-0.514,3.131
75,50,-85,-18.004,1.029,1.75,1.543,4.617
75,50,-85,-10.288,-1.029,1.75,-1.029,8.479
75,50,-85,-5.144,1.543,0.6,1.029,9.101
75,50,-85,5.144,-0.514,-0.65,-1.543,10.419
75,50,-85,15.432,-2.058,1.75,0.514,8.615
75,50,-75,-20.576,-1.543,0.6,0,2.74
75,50,-75,-18.004,1.029,0.6,2.058,3.685
75,50,-75,-10.288,-0.514,1.75,-0.514,8.136
75,50,-75,-5.144,2.058,1.75,1.543,8.938
75,50,-75,5.144,0,0.6,-1.029,10.296
75,50,-75,15.432,-2.058,0.6,1.029,6.45
75,50,-65,-20.576,-1.029,1.75,0.514,2.135
75,50,-65,-18.004,1.543,0.6,-2.058,12.91
75,50,-65,-10.288,-0.514,0.6,0,7.326
75,50,-65,-5.144,2.058,-0.65,2.058,8.034
75,50,-65,5.144,0.514,1.75,-0.514,9.944
75,50,-65,15.432,-1.543,1.75,1.543,5.946
